stat: 100.000000
1.900000 nan inf
1.930000 0.908824 0.006464
1.960000 0.891091 0.003072
1.990000 0.926854 0.002396
2.020000 0.899667 0.002015
2.050000 0.874216 0.001761
2.080000 0.872234 0.001587
2.110000 0.891911 0.001493
2.140000 0.878275 0.001443
2.170000 0.870284 0.001407
2.200000 0.842002 0.001378
2.230000 0.845290 0.001422
2.260000 0.832549 0.001427
2.290000 0.840328 0.001500
2.320000 0.835582 0.001591
2.350000 0.826926 0.001601
2.380000 0.818348 0.001606
2.410000 0.807882 0.001677
2.440000 0.797856 0.001726
2.470000 0.787414 0.001761
2.500000 0.778894 0.001807
2.530000 0.773666 0.001841
2.560000 0.764169 0.001891
2.590000 0.764605 0.002012
2.620000 0.754225 0.002001
2.650000 0.747218 0.002028
2.680000 0.733674 0.002071
2.710000 0.746772 0.002104
2.740000 0.733636 0.002137
2.770000 0.736501 0.002182
2.800000 0.731160 0.002287
2.830000 0.734802 0.002351
2.860000 0.736101 0.002430
2.890000 0.742582 0.002566
2.920000 0.734550 0.002585
2.950000 0.734906 0.002695
2.980000 0.724152 0.002840
3.010000 0.723650 0.002841
3.040000 0.717373 0.002999
3.070000 0.717186 0.003149
3.100000 0.714990 0.003332
3.130000 0.701931 0.003430
3.160000 0.697237 0.003515
3.190000 0.670764 0.003713
3.220000 0.669144 0.003828
3.250000 0.649839 0.004091
3.280000 0.661221 0.004214
3.310000 0.663782 0.004335
3.340000 0.645090 0.004422
3.370000 0.560070 0.001421
