Aqso Chisq/dof
1.821885 1.176572
1.094841 1.563838
10.393799 10.281537
1.482793 0.737988
4.511102 2.714288
0.734425 1.577187
1.414245 0.720595
0.863370 1.006179
1.738047 0.884913
0.967350 1.985805
0.902870 1.107861
3.347106 0.707625
7.130340 6.766228
5.612862 0.838331
15.826376 1.905094
7.913501 2.062541
7.313267 11.807117
15.407680 4.996609
1.840863 1.264072
2.436163 1.072556
0.999036 1.354683
1.545897 2.132119
2.467429 1.484228
4.064997 1.322815
9.609547 0.715685
4.903302 2.771143
2.264351 0.935264
0.790345 1.103701
0.540435 0.724903
1.031717 0.894369
1.024617 1.738380
1.181863 3.358354
0.327955 0.642613
0.126431 0.954331
11.555113 1.151503
1.891801 0.746682
3.786681 4.559898
1.112301 0.765959
2.791421 1.219882
1.358947 1.229796
1.790609 1.378333
1.405450 0.920945
1.394977 1.260170
1.843504 10.433137
1.758075 1.331745
4.219931 0.733789
2.228233 0.823640
6.346049 4.453480
1.285749 2.703458
4.036528 2.185179
2.311715 1.039910
0.942417 1.425686
2.584719 9.248018
3.809615 6.851717
4.587314 5.618158
3.133250 0.676860
1.930510 2.465542
3.898644 1.862781
1.960877 1.810836
0.495405 2.970164
11.673037 5.085344
2.865271 6.652517
7.042450 4.057839
1.856702 1.675298
1.048231 1.122352
1.966417 6.515722
0.887091 0.884272
3.555342 2.752329
1.315178 4.043534
5.616700 1.093975
2.334403 1.163735
8.858060 1.525577
0.766757 0.677895
4.158093 1.746464
0.988431 0.691197
0.636957 0.574560
1.149582 1.607499
0.577182 0.683861
1.666438 1.739483
2.209136 3.022251
4.814704 1.045312
2.535219 3.769391
0.682309 1.217851
4.019087 1.904144
4.920607 2.346543
0.798283 0.749083
0.523566 1.830892
0.938079 1.129870
16.784102 7.054365
1.559012 1.768858
3.455626 6.585797
2.866437 1.259851
0.615427 0.762063
3.999993 2.400162
0.884726 2.554976
1.489178 1.268724
2.676861 1.294949
1.604521 1.373594
0.783239 1.222431
6.383864 2.638896
3.536856 2.024756
3.567166 4.305931
1.460728 0.803218
2.262866 3.114802
3.716048 4.882263
3.387557 1.031033
1.819408 1.106289
1.350150 0.868564
7.169300 15.647453
1.616375 1.924089
0.852747 1.017406
0.674419 1.803759
3.863705 10.955519
2.021537 3.597126
2.965362 1.797607
2.424891 1.637357
1.832425 0.696882
1.229141 1.067810
1.350914 0.967000
4.500050 1.670349
1.259582 0.827611
1.666600 1.071461
1.521316 0.734678
2.480236 1.746001
1.769133 2.472985
7.904682 4.366380
14.751053 6.759584
5.468662 7.326150
2.959596 4.205873
1.349605 3.109498
10.963892 0.515825
3.131023 5.853862
0.527488 0.660286
1.166602 1.114598
1.653567 0.893713
0.775666 0.707194
0.609853 0.771913
1.037667 1.025613
1.539883 2.619121
1.836156 0.808023
1.590717 0.884872
1.374446 1.124688
0.515998 2.410205
0.976371 1.094603
14.900205 4.166070
4.767899 0.869921
0.518929 1.761955
2.250933 1.343117
1.747195 4.137408
6.785725 1.006725
5.409493 52.529638
3.317681 3.821140
0.306946 1.449033
3.208395 14.155795
1.659939 0.919804
5.273156 3.598447
1.404483 0.667116
10.261327 1.135239
1.371905 1.526599
3.208438 2.522561
2.377323 2.304290
9.226447 1.160420
1.378478 0.809794
2.475257 2.574180
3.133451 1.118239
0.787055 0.805738
2.465959 1.234357
1.961210 3.504297
0.781604 9.745697
3.542576 1.145148
0.381531 3.879363
3.986380 2.186500
2.535307 6.768022
1.285691 1.210796
0.381584 1.161608
1.121097 1.142396
4.871385 8.152381
0.704738 1.190386
3.328128 1.710820
1.182490 1.479399
1.099231 1.343658
0.689686 1.062549
2.772018 1.360947
1.953560 1.211273
2.444415 1.006735
2.459289 0.554450
2.180641 1.619247
1.734218 3.246807
3.779387 2.222459
1.574829 0.896920
0.984271 6.998384
1.669538 2.267616
0.940350 1.098630
1.031804 0.834434
1.968697 1.869250
2.572213 4.886294
5.032785 10.731140
2.122484 3.963915
1.089454 1.418285
2.589685 2.594072
0.983137 0.671264
1.028494 1.571454
1.433223 1.149550
3.489994 1.349266
1.002727 1.801679
3.978877 4.049440
2.963022 4.856898
1.229037 0.807174
1.378816 0.822743
2.907721 6.989253
0.968066 2.753378
1.612896 0.599064
1.871452 0.924261
1.081526 1.267312
0.662088 0.665413
3.409705 3.363171
5.193540 6.492909
0.718449 0.943093
4.033891 1.481245
0.945022 1.332430
4.731715 1.323817
2.159062 0.538349
0.226788 0.740933
1.103569 2.566446
1.391469 0.593184
0.444290 1.427867
1.966548 0.888780
11.838218 0.978411
0.727971 0.880384
6.485772 1.583420
0.758093 1.111651
3.784638 2.664117
2.601543 0.736058
1.085023 1.888464
4.304530 32.424719
2.407028 1.801859
3.996923 0.984532
5.140479 4.825525
0.816006 1.217286
2.882044 12.598503
1.909910 0.903574
0.617059 0.898624
1.869940 1.762075
0.963671 1.154088
5.528934 3.720050
0.834347 1.132845
3.008797 1.841799
13.819409 2.592609
1.847220 1.501634
3.668923 0.906329
4.662832 6.175299
1.689421 0.996757
1.072088 0.818910
1.593467 2.180449
1.007604 1.119935
5.627759 1.189035
0.838369 1.330903
0.508613 0.671248
0.183353 0.829125
2.373175 0.836037
4.561876 1.037781
3.750873 1.606103
2.501745 0.896778
0.576967 0.932260
5.096930 4.053123
5.255478 1.914874
1.392952 1.237159
1.429584 1.026159
0.870434 1.385757
3.312867 16.236568
2.865538 1.180863
3.521670 2.329004
3.826550 0.922222
4.885807 1.782119
1.322907 3.840933
2.186008 2.675760
1.601356 7.791244
1.002683 0.842242
0.803482 1.181056
1.378657 1.028328
1.005305 0.988299
3.040984 28.792845
1.577220 1.193385
6.621034 4.772794
2.814995 1.759506
1.215729 1.019702
0.824653 1.574087
0.848122 0.867136
1.102601 4.586324
15.593652 6.884491
2.047493 0.651832
1.031229 1.520806
0.862517 0.717632
1.361700 0.717652
1.166954 0.876218
1.835590 0.930081
3.127217 0.735466
7.035057 26.142841
5.027445 3.443958
1.373721 1.144699
1.002731 1.618476
5.004916 8.573297
2.127337 1.936643
1.637714 1.246624
2.301204 2.386523
2.213440 1.171541
0.415992 2.561668
2.309420 1.597205
3.522156 1.298681
4.353805 0.991635
1.057170 1.481043
1.258528 1.772886
1.228722 0.734318
6.428542 18.498167
0.705311 0.708245
6.503295 0.818445
3.657477 3.271883
1.960355 1.209860
1.444615 2.237601
1.156702 0.966681
2.012545 11.770000
1.375877 1.731328
0.441237 2.369656
1.366060 2.318175
1.134341 1.519513
2.040553 0.834383
1.195957 1.576423
4.691461 4.619577
1.548706 1.175349
1.163613 1.014911
3.965675 2.545871
2.270611 1.173099
0.856169 0.929697
1.172245 2.086940
1.752597 1.194482
3.359437 0.852330
1.212874 0.663327
1.463678 0.865925
0.653581 0.650995
0.599586 1.480441
3.591100 5.525640
2.835982 4.758926
0.604249 1.563533
1.516797 0.784941
12.547383 23.637710
2.164703 1.754531
1.588760 5.332586
0.680102 0.952850
5.205811 0.429488
1.489676 1.299843
0.821045 1.290873
3.888429 1.196930
1.127108 1.959012
1.282070 1.276091
17.581602 4.259719
2.843817 0.783517
1.138168 1.764601
2.450961 1.254614
3.135933 0.925825
1.093277 5.384595
1.983930 1.044373
2.469857 0.854331
2.322529 1.377799
1.750503 1.455220
2.868348 2.773807
5.674390 0.948175
0.766801 1.991731
2.112237 0.835650
0.810135 1.058898
2.035389 1.926046
8.785789 128.861474
1.072021 0.654024
1.757039 1.251432
6.552039 3.189460
2.510212 1.263648
1.791294 1.794927
1.847268 2.679505
1.895098 3.916723
0.951030 1.268908
2.869700 1.054492
1.776022 3.632956
2.613335 1.057794
0.803585 0.765670
2.628909 0.902865
1.685479 1.211346
1.663122 0.957529
4.984645 3.223642
1.153009 0.786084
0.760914 1.112987
3.968432 4.045882
2.396499 1.302721
0.807542 1.055858
1.390833 1.044603
0.889475 0.674890
1.473524 0.952819
1.671656 1.614858
0.411903 0.535816
1.902844 1.093547
0.555705 0.754433
0.715620 0.925721
0.886312 0.800871
3.054560 1.948129
2.596792 1.283424
1.842976 0.864463
5.490550 2.136882
2.425858 4.069144
0.703886 0.965272
2.678438 1.157875
0.856992 0.671032
3.739409 1.078600
1.455088 0.679510
