A_qso chisq
1.669482 0.863683
0.891767 1.050035
11.718692 1.151959
1.667648 0.850217
6.167050 2.061371
0.464904 1.014362
1.596766 0.999990
0.750710 0.930595
2.058488 1.110752
0.654143 1.064659
0.808759 0.961890
3.690556 0.865284
6.625690 2.313624
1.612107 2.084515
6.649780 0.508752
19.088400 0.808427
8.913583 0.781072
5.529448 2.694977
14.146549 2.391454
2.380089 1.160198
1.842384 1.033577
3.626470 1.184497
0.839924 1.086191
2.907374 1.242442
5.151969 0.927930
10.910168 0.422225
2.796674 0.719926
0.681392 1.076414
1.225743 1.100058
0.784801 0.991319
0.556842 1.433811
1.794261 1.405474
0.079921 1.113649
13.881825 1.222715
2.077389 0.904861
3.418166 2.374105
2.160653 1.233124
1.854611 1.145115
1.314817 0.925849
0.470414 1.498739
0.746622 1.272240
4.489176 0.675838
2.767532 0.856223
7.060184 1.425624
0.777519 1.288213
3.071440 2.055564
2.739721 0.990121
0.919315 1.568734
1.222528 1.387950
3.192487 2.425531
3.727713 1.596778
3.411881 0.794329
0.714964 1.106196
2.324889 1.014110
1.938690 1.192006
0.252679 1.211997
15.577235 1.830817
1.490422 1.398217
0.878105 0.935205
0.907393 0.930344
1.014228 1.418984
0.863041 1.051168
4.064962 1.843902
0.644768 1.277421
5.453043 1.346790
10.634098 0.702117
0.962182 1.013929
5.518752 1.553263
0.714879 0.900178
0.855867 0.911017
0.618573 1.045788
1.541144 1.034326
1.495831 1.202707
5.185165 0.880009
3.315690 2.605052
1.895390 1.071720
0.519819 1.173237
4.357719 0.645864
6.005122 1.313532
0.980176 1.168976
0.266008 1.130017
0.966551 1.237899
16.293618 1.525991
7.024744 1.337171
1.290361 1.200580
2.511442 1.711674
0.559862 0.942057
5.186298 2.129806
0.523782 1.255215
2.298217 0.992559
1.653748 1.055240
3.422783 0.926859
1.555924 1.090375
0.803798 0.997027
5.830704 1.317247
3.759963 1.098118
4.594132 1.563254
1.537583 1.219574
1.304812 0.771324
3.011463 2.258028
5.200692 3.078186
1.340593 0.994559
1.816139 1.036271
1.594789 0.934865
7.947097 0.870722
1.592477 1.342523
0.793102 1.147905
3.889902 0.914586
2.935544 4.265366
1.438868 1.428660
2.633984 1.570955
2.080058 0.881638
3.141727 2.785809
1.633911 0.977027
0.716356 0.939756
5.624926 0.801288
1.366344 0.997266
3.438773 0.846418
1.853351 0.899954
2.708189 0.937383
14.302340 2.585308
11.804124 9.447636
2.319913 1.920597
0.793524 1.103856
4.113514 2.216057
1.056669 0.939617
2.039254 0.872631
0.764134 0.932848
0.563504 1.114879
0.956667 1.036053
1.510136 1.058106
1.745955 0.974872
2.451252 1.028766
4.616944 3.089821
0.299416 1.039065
2.814521 1.316457
18.086247 1.329808
4.845567 0.963530
0.184586 1.047850
1.163078 1.633282
7.645442 0.852113
4.141107 2.161811
1.908948 1.666180
2.352087 1.000896
2.278302 3.391503
1.732782 0.866040
1.748885 0.868437
12.361770 0.836699
1.064202 1.044181
0.405901 1.549735
2.463550 1.003020
3.083723 2.122216
9.753042 1.798807
2.004744 1.264499
3.497618 0.979668
2.187237 1.179569
0.692495 0.893523
2.554448 0.972279
1.404820 1.530697
0.288489 1.545742
3.919881 1.508809
3.582986 8.222839
1.107573 1.133933
0.283162 1.029498
11.700260 0.602212
5.989283 1.515097
0.541869 1.332615
0.775957 0.914812
0.841745 1.002956
0.548536 1.057190
2.904978 1.537543
1.639423 1.310938
1.911186 0.974372
2.511544 1.042038
2.883605 1.299853
2.513497 1.087805
3.491216 0.997921
3.041188 1.678366
1.866148 0.848128
0.513921 1.519405
0.846049 1.096968
0.918494 1.127021
1.010120 0.911230
2.402997 1.947729
1.766807 1.679385
4.288009 3.134710
1.623375 1.358310
0.913525 1.111966
2.453216 1.356894
0.758083 1.038720
1.776122 1.300458
3.877741 1.075855
0.802125 1.626013
3.931216 1.457915
0.441272 1.187642
1.237692 1.000693
1.575582 0.918553
1.166214 0.938948
0.443952 1.099525
1.820516 0.940506
2.300217 1.544410
0.943593 1.022153
0.684457 0.901147
4.583408 4.095290
0.577715 1.026944
5.102156 1.075033
0.668016 1.079815
1.316678 1.314659
2.426304 0.845131
0.126955 0.850310
0.821703 0.895358
0.637379 1.433929
1.642614 0.731774
0.220764 0.864555
13.692742 0.507782
0.667594 1.118769
6.541850 0.674666
0.596940 0.985567
4.521197 1.718193
2.675789 0.742406
1.625431 3.068558
2.442513 1.131202
2.003813 0.999554
4.234699 0.781830
2.251206 0.769911
1.353297 1.566023
0.613841 0.982755
2.205233 1.620356
1.605226 2.066201
15.080672 1.027428
0.599990 0.979945
3.944765 29.346827
0.920516 1.124259
2.214669 1.775617
0.746571 1.028624
2.711039 1.085747
6.141946 0.676120
2.341648 1.810573
3.761568 1.131517
1.820139 1.301359
1.133675 1.131123
1.199728 1.469875
0.931351 1.218645
6.716753 0.845554
32.185548 8.508200
0.541485 1.029748
0.508458 0.991804
0.134404 0.918938
8.246416 0.491000
0.820576 1.213195
4.427222 1.185912
1.610594 1.895128
6.337556 3.134800
1.141390 1.053328
0.734108 1.642547
7.268776 2.946106
4.987717 0.880568
1.201717 1.032414
0.443293 1.677068
1.764677 1.020646
0.637470 0.995438
1.588123 2.061612
2.891461 0.865603
3.744390 0.953948
3.903945 0.691771
6.921439 0.689617
6.394585 1.487472
0.722398 1.271295
0.995925 1.851078
1.044332 1.011562
0.638458 1.040624
1.336128 0.973216
0.996503 0.961960
1.012971 2.397457
0.770817 1.871051
5.175366 1.892365
3.280253 0.979369
1.709557 0.735728
0.569252 1.400659
0.888596 0.992783
0.515951 1.414293
13.244866 1.358406
15.660015 2.538354
2.024243 1.058319
0.860365 1.247629
0.882810 0.888827
1.291159 1.108813
1.966892 1.142570
3.412381 0.837421
4.427353 3.310922
4.587137 2.707622
1.282703 1.241682
0.931416 0.936313
0.926338 1.212204
2.768906 0.835516
0.340940 1.093970
2.152904 1.307156
1.623394 1.229857
1.944091 1.401891
0.314980 0.959311
0.230601 1.278147
2.619870 2.138584
4.496026 0.869018
5.362387 0.725896
0.899894 1.131578
1.014352 1.210185
9.665283 1.934454
6.176673 0.525196
0.779703 1.124865
7.601717 0.821411
3.710599 1.956516
2.565291 1.030992
1.126973 1.366555
1.571035 1.021283
0.775292 1.566945
1.121413 1.109947
0.222092 1.166216
1.636709 2.227025
3.108948 1.435037
2.068818 0.926960
1.248804 1.199992
1.545802 1.490940
3.858969 1.563314
1.510670 1.035980
1.520927 0.913555
4.885055 2.183006
2.215406 1.036807
1.055006 1.308143
1.242049 2.352012
2.049895 1.601375
4.661313 1.651490
3.778923 1.046114
1.473064 0.906045
1.551914 1.216476
