A_qso chisq
1.674081 0.868049
0.892337 1.055320
11.733900 1.128311
1.671293 0.847093
6.177108 2.010747
0.465146 1.014070
1.603396 0.993759
0.752182 0.933561
2.065005 1.101986
0.654655 1.066499
0.810540 0.960519
3.697301 0.865768
6.631015 2.345839
1.623751 1.985067
6.658326 0.495437
19.108848 0.779362
8.924229 0.786524
5.528953 2.660316
14.155837 2.455992
2.386106 1.133814
1.845899 1.032734
3.632727 1.195565
0.842546 1.085472
2.911886 1.227840
5.158758 0.905136
10.919236 0.420504
2.801699 0.705947
0.685300 1.069906
1.230754 1.088624
0.785500 0.992328
0.554912 1.422778
1.801374 1.371565
0.081565 1.102193
13.895829 1.202910
2.083347 0.911744
3.427891 2.375172
2.160713 1.239859
1.857282 1.134906
1.322133 0.921156
0.467171 1.468755
0.743253 1.185556
4.499002 0.679589
2.776218 0.841784
7.066112 1.421039
0.781102 1.290374
3.077562 2.012905
2.746933 0.979618
0.922036 1.557675
1.217969 1.326528
3.195991 2.471598
3.729408 1.635586
3.419017 0.807029
0.715817 1.106478
2.329351 1.018075
1.944347 1.183520
0.253420 1.219647
15.590899 1.772899
1.494617 1.397876
0.882558 0.929899
0.907918 0.927587
1.013113 1.419427
0.865712 1.052511
4.070909 1.829891
0.640903 1.237232
5.465236 1.326215
10.644372 0.684546
0.970665 0.992181
5.530609 1.512250
0.718614 0.895521
0.855864 0.910774
0.625433 1.036427
1.542402 1.042214
1.496312 1.211192
5.192827 0.901105
3.325264 2.548972
1.899610 1.071846
0.522080 1.172936
4.360209 0.639739
6.013624 1.283708
0.988151 1.121196
0.268394 1.125289
0.971790 1.220683
16.303846 1.572697
7.031068 1.312150
1.294260 1.197602
2.512325 1.669754
0.561408 0.941494
5.195494 2.100427
0.523147 1.245977
2.299920 0.995126
1.662198 0.981572
3.430623 0.900431
1.564475 1.058293
0.804621 0.996484
5.837113 1.366403
3.763749 1.098340
4.605991 1.495730
1.543649 1.222787
1.309213 0.764403
3.022919 2.205145
5.205126 3.028714
1.346021 1.001948
1.819530 1.040510
1.599474 0.930242
7.964679 0.815181
1.596620 1.326914
0.794833 1.146290
3.899747 0.891810
2.939325 4.335762
1.437510 1.423287
2.635058 1.587862
2.086425 0.880249
3.151037 2.725337
1.640643 0.960067
0.719234 0.936910
5.632836 0.780888
1.371534 0.992662
3.444722 0.851205
1.858130 0.889434
2.714278 0.921995
14.314887 2.623835
11.815376 9.557362
2.326103 1.984486
0.796071 1.102325
4.120753 2.166456
1.058331 0.945894
2.044221 0.862273
0.773206 0.911274
0.566635 1.116577
0.958080 1.038918
1.517491 1.034898
1.749881 0.987347
2.456427 1.029474
4.622300 3.133845
0.299413 1.039483
2.817617 1.333587
18.104078 1.289181
4.851285 0.957342
0.185399 1.052304
1.161621 1.627328
7.656504 0.850334
4.148872 2.112324
1.918437 1.603328
2.357321 0.989639
2.278358 3.422435
1.735468 0.867267
1.754870 0.856165
12.375275 0.819022
1.067851 1.039501
0.405205 1.546215
2.470146 0.978062
3.089130 2.092051
9.760606 1.795650
2.006903 1.272008
3.503956 0.977307
2.187566 1.164704
0.693977 0.897497
2.559331 0.976749
1.403818 1.537754
0.287499 1.535362
3.925985 1.530576
3.594361 8.159074
1.108934 1.135150
