stat: 0.817350
1.949160 0.936253 0.003693
1.979160 0.922698 0.002672
2.009160 0.929551 0.002236
2.039160 0.888921 0.001848
2.069160 0.866476 0.001630
2.099160 0.884802 0.001521
2.129160 0.884565 0.001430
2.159160 0.878542 0.001404
2.189160 0.843857 0.001312
2.219160 0.851877 0.001372
2.249160 0.829538 0.001329
2.279160 0.824975 0.001365
2.309160 0.827861 0.001462
2.339160 0.820326 0.001488
2.369160 0.812185 0.001470
2.399160 0.803558 0.001509
2.429160 0.797488 0.001552
2.459160 0.781933 0.001541
2.489160 0.783289 0.001597
2.519160 0.774467 0.001601
2.549160 0.772238 0.001682
2.579160 0.764943 0.001725
2.609160 0.754164 0.001724
2.639160 0.747561 0.001751
2.669160 0.729677 0.001746
2.699160 0.733850 0.001774
2.729160 0.721915 0.001769
2.759160 0.712701 0.001783
2.789160 0.713112 0.001867
2.819160 0.709773 0.001907
2.849160 0.704050 0.001966
2.879160 0.704450 0.002015
2.909160 0.691020 0.002083
2.939160 0.689566 0.002109
2.969160 0.683164 0.002176
2.999160 0.671783 0.002173
3.029160 0.654790 0.002242
3.059160 0.648894 0.002306
3.089160 0.649523 0.002459
3.119160 0.643131 0.002477
3.149160 0.623827 0.002545
3.179160 0.609597 0.002613
3.209160 0.609435 0.002680
3.239160 0.587539 0.002771
3.269160 0.588807 0.002945
3.299160 0.598545 0.002985
3.329160 0.585125 0.003017
3.359160 0.563034 0.003077
3.389160 0.543839 0.003133
3.419160 0.544239 0.003121
3.449160 0.519511 0.003176
